account_code,account_name,account_type,parent_code,balance_direction
1001,现金,资产,,借
1002,银行存款,资产,,借
1101,短期投资,资产,,借
1201,应收账款,资产,,借
1501,固定资产,资产,,借
1601,长期投资,资产,,借
2001,短期借款,负债,,贷
2201,应付账款,负债,,贷
2501,长期借款,负债,,贷
3001,实收资本,所有者权益,,贷
3101,资本公积,所有者权益,,贷
3201,留存收益,所有者权益,,贷
4001,工资收入,收入,,贷
4101,投资收益,收入,,贷
4201,其他收入,收入,,贷
5001,生活费用,费用,,借
5101,交通费用,费用,,借
5201,娱乐费用,费用,,借
5301,教育费用,费用,,借
5401,医疗费用,费用,,借
5501,其他费用,费用,,借
6000,本期利润,利润,,借
